date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
2014-08-01,,97.828037341711,,,3.01,5.65,,4.825503,,,,0.0,4.15
2014-09-01,,98.4808434643941,,,3.09,,,4.771502,,,,0.0,4.218
2014-10-01,0.1962227,99.1930717098886,,5626.9925,3.17,6.08,,4.640357,,2133261.5,2013894.875,0.0,4.298
2014-11-01,,99.1503299300641,,,3.17,5.98,,4.687418,,,,0.0,4.168
2014-12-01,,99.0035666501704,,,3.22,5.9,,4.178562,,,,0.0,4.081
2015-01-01,0.1382297,98.5793833263236,2.72064064964023,5653.4945,3.23,,,4.334042,10021.2386118827,2132674.5,2048833.25,0.0,3.066
2015-02-01,,99.4370586464979,,,3.21,5.31,,4.368168,,,,0.0,3.0
2015-03-01,,98.6757146109496,,,3.53,6.04,,4.244276999999999,,,,0.0,3.137
2015-04-01,0.1660854,99.700217890084,,5704.892,3.5,5.83,,4.4142,,2173062.25,2092039.625,0.0,3.0620000000000003
2015-05-01,,98.9559884938673,,,3.51,,,4.540211,,,,0.0,2.877
2015-06-01,,99.4160472857002,,,3.54,6.25,,4.447458,,,,0.0,2.871
2015-07-01,0.1968891,100.532151560503,,5771.2675,3.63,6.07,,4.431907,,2208122.25,2128832.0,0.0,2.7390000000000003
2015-08-01,,100.897096689784,,,3.7,,,4.363008,,,,0.0,2.587
2015-09-01,,102.79276045029,,,3.72,6.07,,4.187136,,,,0.0,2.519
2015-10-01,0.2289063,100.802221958387,,5754.4775,3.53,,,4.451105999999999,,2196364.5,2065697.75,0.0,2.48
2015-11-01,,100.096216804513,,,3.7,6.18,,4.095699,,,,0.0,2.215
2015-12-01,,100.507856743538,,,3.68,,,4.363686,,,,0.0,2.131
2016-01-01,0.2140716,100.499225108842,2.8217078474766,5751.152,3.58,6.23,,4.084225,10100.5021214015,2172552.25,2056863.375,0.0,2.613
2016-02-01,,100.592725982285,,,3.53,6.07,,4.187344,,,,0.0,2.867
2016-03-01,,99.8874674853215,,,4.11,6.03,,4.111014,,,,0.0,2.601
2016-04-01,0.100055,99.6148607764305,,5772.72,4.04,,,3.910794,,2211191.25,2094398.75,0.0,2.5420000000000003
2016-05-01,,100.031420019056,,,4.47,5.91,,4.113588,,,,0.0,2.597
2016-06-01,,99.7783538895578,,,4.47,6.08,,3.961904,,,,0.0,2.538
2016-07-01,0.0604193,99.7942269981008,,5823.9145,4.79,,,3.771899,,2241650.5,2181246.25,0.0,2.655
